senderId,receiverId,systime,receiverDist,receiverX,receiverY,receiverAlt,receiverSpeed,channelFreq,channelBw,channelUtil,isInLap,isIperfOn,rssiMean,dataRateMean,nBytesReceived
ap1,w2,1548779150,22.232554545012864,16.678437158868018,-3.038738207232874,124.5,5.4275,2437,20,81.74717274808523,1.0,1.0,-61.0,58.885709999999996,529789
ap1,w2,1548779151,11.728046522238069,11.338873252751146,-2.9961807121403687,124.7,5.505,2437,20,79.36432637571157,1.0,1.0,-53.588235,65.753372,738820
ap1,w2,1548779152,11.728046522238069,5.498579027653625,-1.8488861334593418,124.6,5.556,2437,20,76.43491306829577,1.0,0.0,-49.857143,63.126641000000006,1043447
ap1,w2,1548779153,0.7803845019957992,-0.3417151974438969,-0.701591554778315,124.5,5.607,2437,20,73.50549976087997,1.0,0.0,-56.368421,52.259457,701202
ap1,w2,1548779154,6.047192032124168,-6.0258372163971625,-0.507760453646079,124.3,5.813,2437,20,80.92491862954039,1.0,0.0,-100.0,0.0,0
ap1,w2,1548779155,12.353291348144346,-12.35020392998694,-0.2761841861935717,123.6,5.7620000000000005,2437,20,78.45177900665358,1.0,1.0,-100.0,0.0,0
ap1,w2,1548779156,12.353291348144346,-18.02310791159429,0.4310146434321288,123.35,5.8135,2437,20,75.97863938376678,1.0,1.0,-47.95935,66.70329,2280698
ap1,w2,1548779157,23.723335055238618,-23.696011893201643,1.1382134730578293,123.1,5.865,2437,20,83.39805825242719,1.0,1.0,-47.744186,60.89729200000001,2968998
ap1,w2,1548779158,29.744981278646026,-29.599144857408056,2.9417791905219186,122.9,5.813,2437,20,83.13853175653401,1.0,1.0,-51.328571000000004,66.979975,3134212
ap1,w2,1548779159,29.744981278646026,-35.32995427363671,4.176237843384369,122.95,5.7615,2437,20,82.87900526064084,1.0,1.0,-57.741071,55.709757999999994,2419923
ap1,w2,1548779160,41.415741156363815,-41.06076368986536,5.4106964962468185,123.0,5.71,2437,20,82.73350833916913,1.0,1.0,-60.645455000000005,40.706505,1511810
